# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
11 Com b,Confirmed,,,,16.1284,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2008,2021-10-02,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,302.8,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 Com,185.1791667,17.7927778,4.74,,,,,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19.0,2.0,2.0,G8 III,,,,4742.0,100.0,100.0,,,
11 Oph b,Confirmed,21.0,3.0,3.0,,,,,,,730000.0,365000.0,365000.0,243.0,55.0,55.0,,,,,,,1.675862,2007,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145.0,20.0,20.0,,,,0.0162,0.005,0.005,,,,M9,0.011,0.002,0.002,2375.0,175.0,175.0,,,"Oph 1622-2405, Oph 11A"
11 UMi b,Confirmed,,,,11.0873,1.1,1.1,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,2021-10-02,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,189.7,7.15,7.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,1.56,0.54,0.54,4340.0,70.0,70.0,,,
14 And b,Confirmed,,,,4.684,0.23,0.23,,,,185.84,0.23,0.23,0.83,,,0.0,,,,,,0.010864,2008,2021-10-02,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,100.0,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11.0,1.0,1.0,K0III,,,,4813.0,20.0,20.0,,,
14 Her b,Confirmed,9.1,,,5.215,,,,,,1763.3,0.84,0.84,2.845,0.04,0.04,0.369,0.003,0.003,32.7,5.3,5.3,0.153039,2002,2021-11-12,22.78,0.55,0.55,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,90.0,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
14 Her c,Confirmed,6.9,1.0,1.7,,,,,,,52596.0,21185.0,50770.0,27.4,7.9,16.0,0.64,0.13,0.13,101.0,33.0,33.0,0.381215,2006,2021-11-12,15.2,6.0,6.0,9100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Astrometry,,HD 145675 c,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
16 Cyg B b,Confirmed,,,,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,2021-10-02,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8.0,1.8,1.8,5766.0,60.0,60.0,,,
17 Sco b,Confirmed,,,,4.32,0.12,0.15,,,,578.38,2.0,2.0,1.45,0.02,0.02,0.06,0.02,0.03,,,,,2020,2020-10-26,57.03,106.77,113.18,2453294.28,182.91,174.23,,,,,,,,,,,,,,,,,,,92.4,3.84,3.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,17 Sco,243.462500017,-11.837777798,5.24,,,,,116.0,4.53,4.91,-0.01,0.1,0.1,1.22,0.14,0.14,25.92,0.74,0.78,K3 III,5.13,1.33,2.12,4157.0,11.0,11.0,,,
18 Del b,Confirmed,,,,10.3,0.36,0.36,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,2021-10-02,166.1,6.5,6.5,2451672.0,18.0,18.0,,,,,,,,,,,,,,,,,,,119.4,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,G6III,,,,4979.0,18.0,18.0,,,
1I/'Oumuamua,Confirmed,,,,,,,2e-06,,,,,,,,,1.196,0.004,0.004,,,,,2017,2020-08-14,241.5,0.3,0.3,2458055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,Theoretical,"1I/2017_U1, 'Oumuamua",,Sun,0.0,0.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
