CODE,LATITUDE,LONGITUDE,ELEVATION,NETWORK,STATUS,NAME
-A0MA, 46.6886,-106.2222,  897.0,LRSM,Closed,Subarray A0 LASA
034A, 27.0647, -98.6833,  155.0,USTA,Open,Hebronville
035A, 26.9379, -98.1023,   29.0,USTA,Open,Encino
035Z, 26.4630, -98.0683,   19.0,USTA,Open,Hargill
121A, 32.5324,-107.7851, 1652.0,USTA,Open,Cookes Peak; Deming
128A, 32.6213,-102.4850,  966.0,USTA,Open,Castleberry Farm; Seminole
129A, 32.6309,-101.8662,  876.0,USTA,Open,Stewart Farms; Lamesa
130A, 32.5961,-100.9652,  676.0,USTA,Open,Snyder
131A, 32.6737,-100.3888,  622.0,USTA,Open,Roby
214A, 31.9559,-112.8115,  543.0,USTA,Open,Organ Pipe Cactus National Monument; Ajo
226A, 32.0618,-104.1014,  929.0,USTA,Closed,Malaga; Loving
227A, 32.0120,-103.2924,  879.0,USTA,Closed,Bennet; Jal
228A, 32.1180,-102.5918,  954.0,USTA,Open,UT Block 9; Goldsmith
229A, 31.9671,-101.8107,  804.0,USTA,Open,Bryant Ranch; Stanton
230A, 31.8878,-101.1124,  742.0,USTA,Open,Sterling City
231A, 31.9353,-100.3163,  574.0,USTA,Open,Bronte
232A, 31.8880, -99.6469,  621.0,USTA,Open,Coleman
233A, 32.0179, -98.8998,  539.0,USTA,Open,Rising Star
234A, 32.0040, -98.1368,  358.0,USTA,Open,Clairette
319A, 31.3757,-109.2809, 1187.0,USTA,Open,Douglas
329A, 31.4870,-101.9808,  842.0,USTA,Open,Wagon Wheel Ranch; Midkiff
429A, 30.6248,-101.8938,  804.0,USTA,Open,Davenport Ranch; Sheffield
634A, 29.3815, -98.3515,  188.0,USTA,Open,China Grove; San Antonio
635A, 29.3877, -97.7736,  119.0,USTA,Open,Leesville
734A, 28.8473, -98.5576,  121.0,USTA,Open,La Parita Creek; Jourdanton
735A, 28.8553, -97.8081,   90.0,USTA,Open,Kenedy
832A, 28.2844, -99.9743,  238.0,USTA,Open,Faith Ranch; Carrizo Springs
833A, 28.3236, -99.3939,  171.0,USTA,Open,Chaparral WMA; Artesia Wells
834A, 28.1251, -98.5519,  151.0,USTA,Open,Tilden
835A, 28.2870, -97.8297,   57.0,USTA,Open,Beeville
933A, 27.6113, -99.2746,  214.0,USTA,Open,Laredo
934A, 27.6018, -98.5192,  144.0,USTA,Open,Benavides
936A, 27.4208, -97.3091,   -3.0,USTA,Open,North Padre Island; Corpus Christi
A05A, 48.9983,-122.0852,  174.3,SEA,Open,Maple Falls
A10, 10.4611, -84.7156,  830.0,ICE,Closed,Crater
A11, 47.2425, -70.1978,   61.0,CLTN,Open,Saint Roch-des-Aulnaies
A16, 47.4706, -70.0064,   15.0,CLTN,Open,Rivi&egrave;re Ouelle
A19A, 48.9286,-108.7429,  971.0,USTA,Open,Klindworth Farms; Hogeland
A20A, 48.8799,-107.9257,  868.0,USTA,Open,Cobblestone Ranch; Loring
A21, 47.7036, -69.6897,   46.0,CLTN,Open,Saint Andre
A21A, 48.9912,-106.9254,  779.0,USTA,Open,Bergtoll Ranch; Theony
A22A, 48.9926,-105.9153,  861.0,USTA,Open,Carney Farms; Richland
A23A, 48.9592,-104.8786,  665.0,USTA,Open,Redstone
A24A, 48.9239,-104.0018,  677.0,USTA,Open,Westby
A25A, 48.9388,-103.1128,  584.0,USTA,Open,Svangstu Ranch; Noonan
A26A, 48.8973,-102.0380,  570.0,USTA,Open,Wade Farm; Kenmare
A27A, 48.9533,-101.2407,  466.0,USTA,Open,Ledoux Ranch; Antler
A28A, 48.9096,-100.2669,  692.0,USTA,Open,Rude Farm; Bottineau
A29A, 48.9228, -99.2321,  480.0,USTA,Open,Manning Farm; Rocklake
A30A, 48.9402, -98.3009,  484.0,USTA,Open,Hoffart Farm; Langdon
A54, 47.4567, -70.4125,  381.0,CLTN,Open,Misere
A61, 47.6931, -70.0900,  358.0,CLTN,Open,Sainte Mathilde
A64, 47.8264, -69.8922,  137.0,CLTN,Open,Saint Sim&eacute;on
AA-IS, 52.2117,-174.2036,    6.0,LRSM,Closed,Atka
AA1,,,,,Alternate,(Alternate Abbreviation for AAA)
AA2,,,,,Alternate,(Alternate Abbreviation for TLG)
AAA, 43.2717,  76.9467,  800.0,KAZK,Open,Almaty (Alma-Ata)
AAB,,,,,Alternate,(Alternate Abbreviation for TLG)
AAC, 50.7833,   6.0833,  179.0,,Closed,Aachen
AADN, 22.1100,  31.5500,  200.0,HLW,Open,Adndan
AAE,  9.0292,  38.7656, 2442.0,AAE,Open,Adis Abeba (Addis Ababa)
AAGR,-33.0852, -68.8284, 1159.0,SJA,Reserved,Agrelo
AAHD, 23.7463,  32.7528,    0.0,HLW,Open,Abu Hadid
AAI, -3.6870, 128.1945,   80.0,DJA,Open,Ambon
AAK, 42.6390,  74.4940, 1645.0,KYRG,Open,Ala-Archa
AAL, 60.1780,  19.9936,   10.0,,Open,Aland
AALM, 36.8300,  -2.4017,   10.0,CRT,Reserved,Campus Universitario de Almer&iacute;a
AAM, 42.3012, -83.6567,  172.0,AAM,Open,Ann Arbor
AAMC, 42.2780, -83.7360,  250.0,AAM,Open,University of Michigan
AANS, 30.2910,  31.4000,   60.0,HLW,Open,
AAP, 10.4200, 121.9440,   50.0,PIVS,Open,Anini-y
AAPN, 37.3077,  -4.1210, 1160.0,CRT,Open,Arroyo Pinares
AAR, 46.1333,  25.8950, 1101.0,BUC,Closed,Sfinta Ana
AARM, 39.2762,-121.0255,  930.0,MNLO,Open,Airport Road
AAS,-62.1600, -58.4625,   15.0,WAR,Closed,Arctowski Station
AASM, 38.4300,-121.1085,   65.0,MNLO,Open,Arroyo Seco
AAT,,,,,Reserved,Alma-Ata
AAU, 40.5919,-111.6383, 2694.0,SLC,Closed,Alta
AB-,,,,,Alternate,(Alternate Abbreviation for AB-WV)
AB-WV, 39.3306, -79.5669,  914.0,LRSM,Closed,Amboy
AB01, 49.2556,  59.9431,  243.0,NNC,Open,Akbulak Array Site 01
AB02, 49.2591,  59.9465,  241.0,NNC,Open,Akbulak Array Site 02
AB03, 49.2511,  59.9431,  243.0,NNC,Open,Akbulak Array Site 03
AB04, 49.2578,  59.9371,  249.0,NNC,Open,Akbulak Array Site 04
AB05, 49.2736,  59.9431,  244.0,NNC,Open,Akbulak Array Site 05
AB06, 49.2611,  59.9693,  237.0,NNC,Open,Akbulak Array Site 06
AB07, 49.2410,  59.9593,  235.0,NNC,Open,Akbulak Array Site 07
AB08, 49.2553,  59.9447,  243.0,NNC,Open,Akbulak Array Site 08
AB09, 49.2614,  59.9181,  238.0,NNC,Open,Akbulak Array Site 09
AB31, 49.2558,  59.9431,  243.0,NNC,Open,Akbulak Array Site 31
ABA, 36.8017,   3.0350,  345.0,ALG,Open,Alger-Bouzareah
ABA1, 52.8884,   1.1453,   74.0,BGS,Open,Baconsthorpe
ABAR, 16.9420,  42.9390,  135.0,RYD,Open,Abu `Arish
ABAZ,-36.6020, 174.8321,   74.0,WELA,Open,Army Bay
ABB, 57.8450,  12.7860,  239.0,HFS,Closed,Abborr&aring;sen
ABC, 13.8272,  20.8444,  550.0,PAL,Closed,Ab&eacute;ch&eacute;
ABE, 57.1667,  -2.1000,   12.0,,Open,Aberdeen
ABEM,-37.7194, 146.3890,  548.8,MEL,Open,Aberfeldy
ABF, 58.3813,-134.6433,    3.0,AGS,Open,Auke Bay
ABG, 40.1167, -75.1333,    0.0,SCP,Reserved,Abington
ABGF, 16.0323, -61.6603, 1150.0,FDF,Open,Abri du Galion
ABH, 49.8817,   7.5475,  620.0,FBB,Open,Alteburg
ABHA, 18.2500,  42.7500, 2200.0,RYD,Open,Abha
ABJ, 44.0167, 144.2833,   39.0,JMA,Open,Abashiri
ABJ2, 43.8417, 143.8700,  180.0,JMA,Closed,Abashiri 2
ABJI, -7.7957, 114.2342,    0.0,DJA,Open,Asembagus
ABJM, 39.1653,-121.1912,  457.0,MNLO,Open,Bob Jauregui Ranch
ABK, 68.3417,  18.8167,  385.0,,Closed,Abisko
ABKAR, 49.2556,  59.9431,  243.0,NNC,Open,Akbulak Array Beam Reference Point
ABKT, 37.9304,  58.1189,  678.0,TRKM,Open,Alibek (Geyokcha)
ABL, 34.8508,-119.2208, 1981.0,PAS,Open,Mount Abel
ABM,-19.7810,  47.3650, 1843.0,TAN,Open,Ambohimiarambe
ABMC, 40.6860, -75.0540,  170.0,BLMY,Open,Merrill Creek
ABMS, 36.7500,   3.4800,   97.0,ALG,Open,Boumerdes
ABN, 40.3911, -95.8506,  294.0,,Open,Auburn
ABP, 13.4440, 120.7272,    0.0,PIVS,Closed,Abra de Ilog
ABPO,-19.0174,  47.2275, 1528.0,TAN,Open,Ambohimpanompo
ABQ,,,,,Alternate,(Alternate Abbreviation for ALQ)
ABR, 19.8070, -96.5340,  520.0,IIM,Reserved,El Abra
ABRA, 17.6490, 120.7120,   50.0,PIVS,Open,Dolores
ABRE, 40.5008,  15.7601, 1542.0,ENI,Open,Abriola
ABRM, 39.1352,-121.4868,   24.0,MNLO,Open,Brophy Road
ABRN, 42.9963, -76.4853,  224.0,BLMY,Open,Auburn
ABS, 41.7555,  42.8134, 1590.0,TIF,Open,Abast'umani
ABSA, 36.2733,   7.4778, 1025.0,ALG,Open,Djebel Ababsia
ABSE, 14.8847,  39.3272, 2392.0,,Open,Abaselama
ABSI, 46.7285,  11.3205, 1801.0,ZAMG,Open,Riobianco
ABT, 40.6058,  31.3208, 1794.0,DDA,Open,Abant
ABTA, 46.7474,  12.5123, 1041.0,ZAMG,Open,Abfaltersbach
ABTN, 35.8855, -86.1090,  363.0,TVA,Open,Auburntown
ABTO, 17.3538,  53.2966,  650.0,OMAN,Open,Wadi `Aybut
ABTX, 32.6238, -99.6431,  502.0,USTA,Open,Abilene-Hawley
ABU, 34.8603, 135.5739,  200.0,KYT,Open,Abuyama
ABUS, 22.2500,  31.1372,  230.0,HLW,Open,Abu Simbel
