Week,full moon
2017-01-29,10
2017-02-05,40
2017-02-12,11
2017-02-19,9
2017-02-26,11
2017-03-05,23
2017-03-12,29
2017-03-19,8
2017-03-26,10
2017-04-02,15
2017-04-09,45
2017-04-16,8
2017-04-23,11
2017-04-30,12
2017-05-07,45
2017-05-14,9
2017-05-21,11
2017-05-28,13
2017-06-04,46
2017-06-11,14
2017-06-18,9
2017-06-25,10
2017-07-02,41
2017-07-09,37
2017-07-16,11
2017-07-23,11
2017-07-30,20
2017-08-06,48
2017-08-13,8
2017-08-20,10
2017-08-27,10
2017-09-03,49
2017-09-10,8
2017-09-17,11
2017-09-24,13
2017-10-01,58
2017-10-08,12
2017-10-15,9
2017-10-22,11
2017-10-29,47
2017-11-05,16
2017-11-12,9
2017-11-19,8
2017-11-26,28
2017-12-03,31
2017-12-10,7
2017-12-17,8
2017-12-24,15
2017-12-31,44
2018-01-07,8
2018-01-14,10
2018-01-21,12
2018-01-28,41
2018-02-04,7
2018-02-11,9
2018-02-18,10
2018-02-25,50
2018-03-04,10
2018-03-11,9
2018-03-18,11
2018-03-25,39
2018-04-01,18
2018-04-08,9
2018-04-15,12
2018-04-22,25
2018-04-29,40
2018-05-06,8
2018-05-13,11
2018-05-20,15
2018-05-27,45
2018-06-03,9
2018-06-10,13
2018-06-17,13
2018-06-24,58
2018-07-01,11
2018-07-08,13
2018-07-15,13
2018-07-22,59
2018-07-29,13
2018-08-05,9
2018-08-12,10
2018-08-19,32
2018-08-26,37
2018-09-02,8
2018-09-09,11
2018-09-16,21
2018-09-23,54
2018-09-30,10
2018-10-07,11
2018-10-14,16
2018-10-21,68
2018-10-28,12
2018-11-04,10
2018-11-11,9
2018-11-18,49
2018-11-25,11
2018-12-02,10
2018-12-09,11
2018-12-16,42
2018-12-23,30
2018-12-30,10
2019-01-06,13
2019-01-13,21
2019-01-20,35
2019-01-27,8
2019-02-03,11
2019-02-10,13
2019-02-17,45
2019-02-24,9
2019-03-03,12
2019-03-10,14
2019-03-17,56
2019-03-24,9
2019-03-31,10
2019-04-07,13
2019-04-14,52
2019-04-21,14
2019-04-28,11
2019-05-05,13
2019-05-12,44
2019-05-19,28
2019-05-26,10
2019-06-02,13
2019-06-09,24
2019-06-16,43
2019-06-23,10
2019-06-30,12
2019-07-07,17
2019-07-14,65
2019-07-21,11
2019-07-28,15
2019-08-04,14
2019-08-11,65
2019-08-18,13
2019-08-25,14
2019-09-01,17
2019-09-08,100
2019-09-15,14
2019-09-22,9
2019-09-29,14
2019-10-06,38
2019-10-13,50
2019-10-20,11
2019-10-27,15
2019-11-03,20
2019-11-10,61
2019-11-17,9
2019-11-24,9
2019-12-01,13
2019-12-08,73
2019-12-15,8
2019-12-22,9
2019-12-29,15
2020-01-05,60
2020-01-12,17
2020-01-19,13
2020-01-26,17
2020-02-02,39
2020-02-09,38
2020-02-16,10
2020-02-23,15
2020-03-01,24
2020-03-08,62
2020-03-15,5
2020-03-22,8
2020-03-29,13
2020-04-05,60
2020-04-12,7
2020-04-19,11
2020-04-26,13
2020-05-03,64
2020-05-10,11
2020-05-17,12
2020-05-24,13
2020-05-31,55
2020-06-07,16
2020-06-14,12
2020-06-21,13
2020-06-28,51
2020-07-05,40
2020-07-12,10
2020-07-19,13
2020-07-26,24
2020-08-02,65
2020-08-09,11
2020-08-16,14
2020-08-23,17
2020-08-30,78
2020-09-06,12
2020-09-13,17
2020-09-20,18
2020-09-27,86
2020-10-04,16
2020-10-11,13
2020-10-18,14
2020-10-25,64
2020-11-01,20
2020-11-08,9
2020-11-15,11
2020-11-22,26
2020-11-29,55
2020-12-06,9
2020-12-13,10
2020-12-20,12
2020-12-27,76
2021-01-03,11
2021-01-10,12
2021-01-17,15
2021-01-24,64
2021-01-31,13
2021-02-07,12
2021-02-14,14
2021-02-21,69
2021-02-28,29
2021-03-07,13
2021-03-14,15
2021-03-21,39
2021-03-28,55
2021-04-04,12
2021-04-11,16
2021-04-18,24
2021-04-25,71
2021-05-02,11
2021-05-09,16
2021-05-16,19
2021-05-23,72
2021-05-30,10
2021-06-06,13
2021-06-13,14
2021-06-20,72
2021-06-27,12
2021-07-04,13
2021-07-11,17
2021-07-18,80
2021-07-25,23
2021-08-01,13
2021-08-08,17
2021-08-15,46
2021-08-22,51
2021-08-29,12
2021-09-05,16
2021-09-12,28
2021-09-19,84
2021-09-26,12
2021-10-03,13
2021-10-10,14
2021-10-17,73
2021-10-24,8
2021-10-31,11
2021-11-07,12
2021-11-14,66
2021-11-21,10
2021-11-28,7
2021-12-05,10
2021-12-12,30
2021-12-19,31
2021-12-26,8
2022-01-02,11
2022-01-09,16
2022-01-16,49
