YEAR,TOURNAMENT,WINNER,RUNNER-UP
2022-01-30,Australian Open,Rafael Nadal,Daniil Medvedev
2021-09,U.S. Open,Daniil Medvedev,Novak Djokovic
2021-07,Wimbledon,Novak Djokovic,Matteo Berrettini
2021-06,French Open,Novak Djokovic,Stefanos Tsitsipas
2021-01,Australian Open,Novak Djokovic,Daniil Medvedev
2020-09,U.S. Open,Dominic Thiem,Alexander Zverev
2020-10,French Open,Rafael Nadal,Novak Djokovic
2020-01,Australian Open,Novak Djokovic,Dominic Thiem
2019-09,U.S. Open,Rafael Nadal,Daniil Medvedev
2019-07,Wimbledon,Novak Djokovic,Roger Federer
2019-10,French Open,Rafael Nadal,Dominic Thiem
2019-01,Australian Open,Novak Djokovic,Rafael Nadal
2018-09,U.S. Open,Novak Djokovic,Juan Martin del Potro
2018-07,Wimbledon,Novak Djokovic,Kevin Anderson
2018-06,French Open,Rafael Nadal,Dominic Thiem
2018-01,Australian Open,Roger Federer,Marin Cilic
2017-09,U.S. Open,Rafael Nadal,Kevin Anderson
2017-07,Wimbledon,Roger Federer,Marin Cilic
2017-06,French Open,Rafael Nadal,Stanislas Wawrinka
2017-01,Australian Open,Roger Federer,Rafael Nadal
2016-09,U.S. Open,Stanislas Wawrinka,Novak Djokovic
2016-07,Wimbledon,Andy Murray,Milos Raonic
2016-06,French Open,Novak Djokovic,Andy Murray
2016-01,Australian Open,Novak Djokovic,Andy Murray
2015-09,U.S. Open,Novak Djokovic,Roger Federer
2015-07,Wimbledon,Novak Djokovic,Roger Federer
2015-06,French Open,Stanislas Wawrinka,Novak Djokovic
2015-01,Australian Open,Novak Djokovic,Andy Murray
2014-09,U.S. Open,Marin Cilic,Kei Nishikori
2014-07,Wimbledon,Novak Djokovic,Roger Federer
2014-06,French Open,Rafael Nadal,Novak Djokovic
2014-01,Australian Open,Stanislas Wawrinka,Rafael Nadal
2013-09,U.S. Open,Rafael Nadal,Novak Djokovic
2013-07,Wimbledon,Andy Murray,Novak Djokovic
2013-06,French Open,Rafael Nadal,David Ferrer
2013-01,Australian Open,Novak Djokovic,Andy Murray
2012-09,U.S. Open,Andy Murray,Novak Djokovic
2012-07,Wimbledon,Roger Federer,Andy Murray
2012-06,French Open,Rafael Nadal,Novak Djokovic
2012-01,Australian Open,Novak Djokovic,Rafael Nadal
2011-09,U.S. Open,Novak Djokovic,Rafael Nadal
2011-07,Wimbledon,Novak Djokovic,Rafael Nadal
2011-06,French Open,Rafael Nadal,Roger Federer
2011-01,Australian Open,Novak Djokovic,Andy Murray
2010-09,U.S. Open,Rafael Nadal,Novak Djokovic
2010-07,Wimbledon,Rafael Nadal,Tomas Berdych
2010-06,French Open,Rafael Nadal,Robin Soderling
2010-01,Australian Open,Roger Federer,Andy Murray
2009-09,U.S. Open,Juan Martin del Potro,Roger Federer
2009-07,Wimbledon,Roger Federer,Andy Roddick
2009-06,French Open,Roger Federer,Robin Soderling
2009-01,Australian Open,Rafael Nadal,Roger Federer
2008-09,U.S. Open,Roger Federer,Andy Murray
2008-07,Wimbledon,Rafael Nadal,Roger Federer
2008-06,French Open,Rafael Nadal,Roger Federer
2008-01,Australian Open,Novak Djokovic,Jo-Wilfried Tsonga
2007-09,U.S. Open,Roger Federer,Novak Djokovic
2007-07,Wimbledon,Roger Federer,Rafael Nadal
2007-06,French Open,Rafael Nadal,Roger Federer
2007-01,Australian Open,Roger Federer,Fernando Gonzalez
2006-09,U.S. Open,Roger Federer,Andy Roddick
2006-07,Wimbledon,Roger Federer,Rafael Nadal
2006-06,French Open,Rafael Nadal,Roger Federer
2006-01,Australian Open,Roger Federer,Marcos Baghdatis
2005-09,U.S. Open,Roger Federer,Andre Agassi
2005-07,Wimbledon,Roger Federer,Andy Roddick
2005-06,French Open,Rafael Nadal,Mariano Puerta
2005-01,Australian Open,Marat Safin,Lleyton Hewitt
2004-09,U.S. Open,Roger Federer,Lleyton Hewitt
2004-07,Wimbledon,Roger Federer,Andy Roddick
2004-06,French Open,Gaston Gaudio,Guillermo Coria
2004-01,Australian Open,Roger Federer,Marat Safin
2003-09,U.S. Open,Andy Roddick,Juan Carlos Ferrero
2003-07,Wimbledon,Roger Federer,Mark Philippoussis
2003-06,French Open,Juan Carlos Ferrero,Martin Verkerk
2003-01,Australian Open,Andre Agassi,Rainer Schuettler
2002-09,U.S. Open,Pete Sampras,Andre Agassi
2002-07,Wimbledon,Lleyton Hewitt,David Nalbandian
2002-06,French Open,Albert Costa,Juan Carlos Ferrero
2002-01,Australian Open,Thomas Johannson,Marat Safin
2001-09,U.S. Open,Lleyton Hewitt,Pete Sampras
2001-07,Wimbledon,Goran Ivanisevic,Patrick Rafter
2001-06,French Open,Gustavo Kuerten,Alex Corretja
2001-01,Australian Open,Andre Agassi,Arnaud Clement
2000-09,U.S. Open,Marat Safin,Pete Sampras
2000-07,Wimbledon,Pete Sampras,Patrick Rafter
2000-06,French Open,Gustavo Kuerten,Magnus Norman
2000-01,Australian Open,Andre Agassi,Yevgeny Kafelnikov
1999-09,U.S. Open,Andre Agassi,Todd Martin
1999-07,Wimbledon,Pete Sampras,Andre Agassi
1999-06,French Open,Andre Agassi,Andre Medvedev
1999-01,Australian Open,Yevgeny Kafelnikov,Thomas Enqvist
1998-09,U.S. Open,Patrick Rafter,Mark Philippoussis
1998-07,Wimbledon,Pete Sampras,Goran Ivanisevic
1998-06,French Open,Carlos Moya,Alex Corretja
1998-01,Australian Open,Petr Korda,Marcelo Rios
1997-09,U.S. Open,Patrick Rafter,Greg Rusedski
1997-07,Wimbledon,Pete Sampras,Cedric Pioline
1997-06,French Open,Gustavo Kuerten,Sergi Bruguera
1997-01,Australian Open,Pete Sampras,Carlos Moya
1996-09,U.S. Open,Pete Sampras,Michael Chang
1996-07,Wimbledon,Richard Krajicek,MaliVai Washington
1996-06,French Open,Yevgeny Kafelnikov,Michael Stich
1996-01,Australian Open,Boris Becker,Michael Chang
1995-09,U.S. Open,Pete Sampras,Andre Agassi
1995-07,Wimbledon,Pete Sampras,Boris Becker
1995-06,French Open,Thomas Muster,Michael Chang
1995-01,Australian Open,Andre Agassi,Pete Sampras
1994-09,U.S. Open,Andre Agassi,Michael Stich
1994-07,Wimbledon,Pete Sampras,Goran Ivanisevic
1994-06,French Open,Sergi Bruguera,Alberto Berasategui
1994-01,Australian Open,Pete Sampras,Todd Martin
1993-09,U.S. Open,Pete Sampras,Cedric Pioline
1993-07,Wimbledon,Pete Sampras,Jim Courier
1993-06,French Open,Sergi Bruguera,Jim Courier
1993-01,Australian Open,Jim Courier,Stefan Edberg
1992-09,U.S. Open,Stefan Edberg,Pete Sampras
1992-07,Wimbledon,Andre Agassi,Goran Ivanisevic
1992-06,French Open,Jim Courier,Petr Korda
1992-01,Australian Open,Jim Courier,Stefan Edberg
1991-09,U.S. Open,Stefan Edberg,Jim Courier
1991-07,Wimbledon,Michael Stich,Boris Becker
1991-06,French Open,Jim Courier,Andre Agassi
1991-01,Australian Open,Boris Becker,Ivan Lendl
1990-09,U.S. Open,Pete Sampras,Andre Agassi
1990-07,Wimbledon,Stefan Edberg,Boris Becker
1990-06,French Open,Andres Gomez,Andre Agassi
1990-01,Australian Open,Ivan Lendl,Stefan Edberg
1989-09,U.S. Open,Boris Becker,Ivan Lendl
1989-07,Wimbledon,Boris Becker,Stefan Edberg
1989-06,French Open,Michael Chang,Stefan Edberg
1989-01,Australian Open,Ivan Lendl,Miloslav Mecir
1988-09,U.S. Open,Mats Wilander,Ivan Lendl
1988-07,Wimbledon,Stefan Edberg,Boris Becker
1988-06,French Open,Mats Wilander,Henri Leconte
1988-01,Australian Open,Mats Wilander,Pat Cash
1987-09,U.S. Open,Ivan Lendl,Mats Wilander
1987-07,Wimbledon,Pat Cash,Ivan Lendl
1987-06,French Open,Ivan Lendl,Mats Wilander
1987-01,Australian Open,Stefan Edberg,Pat Cash
1986-09,U.S. Open,Ivan Lendl,Miloslav Mecir
1986-07,Wimbledon,Boris Becker,Ivan Lendl
1986-06,French Open,Ivan Lendl,Mikael Pernfors
1985-01,Australian Open,Stefan Edberg,Mats Wilander
1985-09,U.S. Open,Ivan Lendl,John McEnroe
1985-07,Wimbledon,Boris Becker,Kevin Curren
1985-06,French Open,Mats Wilander,Ivan Lendl
1984-01,Australian Open,Mats Wilander,Kevin Curren
1984-09,U.S. Open,John McEnroe,Ivan Lendl
1984-07,Wimbledon,John McEnroe,Jimmy Connors
1984-06,French Open,Ivan Lendl,John McEnroe
1983-01,Australian Open,Mats Wilander,Ivan Lendl
1983-09,U.S. Open,Jimmy Connors,Ivan Lendl
1983-07,Wimbledon,John McEnroe,Chris Lewis
1983-06,French Open,Yannick Noah,Mats Wilander
1982-01,Australian Open,Johan Kriek,Steve Denton
1982-09,U.S. Open,Jimmy Connors,Ivan Lendl
1982-07,Wimbledon,Jimmy Connors,John McEnroe
1982-06,French Open,Mats Wilander,Guillermo Vilas
1981-01,Australian Open,Johan Kriek,Steve Denton
1981-09,U.S. Open,John McEnroe,Bjorn Borg
1981-07,Wimbledon,John McEnroe,Bjorn Borg
1981-06,French Open,Bjorn Borg,Ivan Lendl
1980-01,Australian Open,Brian Teacher,Kim Warwick
1980-09,U.S. Open,John McEnroe,Bjorn Borg
1980-07,Wimbledon,Bjorn Borg,John McEnroe
1980-06,French Open,Bjorn Borg,Vitas Gerulaitis
1979-01,Australian Open,Guillermo Vilas,John Sadri
1979-09,U.S. Open,John McEnroe,Vitas Gerulaitis
1979-07,Wimbledon,Bjorn Borg,Roscoe Tanner
1979-06,French Open,Bjorn Borg,Victor Pecci
1978-01,Australian Open,Guillermo Vilas,John Marks
1978-09,U.S. Open,Jimmy Connors,Bjorn Borg
1978-07,Wimbledon,Bjorn Borg,Jimmy Connors
1978-06,French Open,Bjorn Borg,Guillermo Vilas
1977-01,Australian Open (Dec),Vitas Gerulaitis,John Lloyd
1977-09,U.S. Open,Guillermo Vilas,Jimmy Connors
1977-07,Wimbledon,Bjorn Borg,Jimmy Connors
