# wikipedia via https://wikitable2csv.ggor.de/
Year,Australian Open,French Open,Wimbledon,US Open
1884,started in 1922,started in 1897,Maud Watson (1/2),started in 1887
1885,tournament not created,tournament not created,Maud Watson (2/2),tournament not created
1886,tournament not created,tournament not created,Blanche Bingley Hillyard (1/6),tournament not created
1887,tournament not created,tournament not created,Lottie Dod (1/5),Ellen Hansell
1888,tournament not created,tournament not created,Lottie Dod (2/5),Bertha Townsend (1/2)
1889,tournament not created,tournament not created,Blanche Bingley Hillyard (2/6),Bertha Townsend (2/2)
1890,tournament not created,tournament not created,Helen Rice,Ellen Roosevelt
1891,tournament not created,tournament not created,Lottie Dod (3/5),Mabel Cahill (1/2)
1892,tournament not created,tournament not created,Lottie Dod (4/5),Mabel Cahill (2/2)
1893,tournament not created,tournament not created,Lottie Dod (5/5),Aline Terry
1894,tournament not created,tournament not created,Blanche Bingley Hillyard (3/6),Helen Hellwig
1895,tournament not created,tournament not created,Charlotte Cooper Sterry (1/5),Juliette Atkinson (1/3)
1896,tournament not created,tournament not created,Charlotte Cooper Sterry (2/5),Elisabeth Moore (1/4)
1897,tournament not created,Adine Masson  ,Blanche Bingley Hillyard (4/6),Juliette Atkinson (2/3)
1898,tournament not created,Adine Masson  ,Charlotte Cooper Sterry (3/5),Juliette Atkinson (3/3)
1899,tournament not created,Adine Masson  ,Blanche Bingley Hillyard (5/6),Marion Jones (1/2)
1900,tournament not created,Yvonne Prévost  ,Blanche Bingley Hillyard (6/6),Myrtle McAteer
1901,tournament not created,Suzanne Girod  ,Charlotte Cooper Sterry (4/5),Elisabeth Moore (2/4)
1902,tournament not created,Adine Masson  ,Muriel Robb,Marion Jones (2/2)
1903,tournament not created,Adine Masson  ,Dorothea Douglass Lambert Chambers (1/7),Elisabeth Moore (3/4)
1904,tournament not created,Kate Gillou  ,Dorothea Douglass Lambert Chambers (2/7),May Sutton Bundy (1/3)
1905,tournament not created,Kate Gillou  ,May Sutton Bundy (2/3),Elisabeth Moore (4/4)
1906,tournament not created,Kate Gillou-Fenwick  ,Dorothea Douglass Lambert Chambers (3/7),Helen Homans
1907,tournament not created,Comtesse de Kermel  ,May Sutton Bundy (3/3),Evelyn Sears
1908,tournament not created,Kate Gillou-Fenwick  ,Charlotte Cooper Sterry (5/5),Maud Barger-Wallach
1909,tournament not created,Jeanne Matthey  ,Dora Boothby,Hazel Hotchkiss Wightman (1/4)
1910,tournament not created,Jeanne Matthey  ,Dorothea Douglass Lambert Chambers (4/7),Hazel Hotchkiss Wightman (2/4)
1911,tournament not created,Jeanne Matthey  ,Dorothea Douglass Lambert Chambers (5/7),Hazel Hotchkiss Wightman (3/4)
1912,tournament not created,Jeanne Matthey  ,Ethel Thomson Larcombe,Mary Browne (1/3)
1913,tournament not created,Marguerite Broquedis  ,Dorothea Douglass Lambert Chambers (6/7),Mary Browne (2/3)
1914,tournament not created,Marguerite Broquedis  ,Dorothea Douglass Lambert Chambers (7/7),Mary Browne (3/3)
1915,tournament not created,World War I,World War I,Molla Bjurstedt Mallory (1/8)
1916,tournament not created,World War I,World War I,Molla Bjurstedt Mallory (2/8)
1917,tournament not created,World War I,World War I,Molla Bjurstedt Mallory (3/8)
1918,tournament not created,World War I,World War I,Molla Bjurstedt Mallory (4/8)
1919,tournament not created,World War I,Suzanne Lenglen (1/8),Hazel Hotchkiss Wightman (4/4)
1920,tournament not created,Suzanne Lenglen  ,Suzanne Lenglen (2/8),Molla Bjurstedt Mallory (5/8)
1921,tournament not created,Suzanne Lenglen  ,Suzanne Lenglen (3/8),Molla Bjurstedt Mallory (6/8)
1922,Margaret Molesworth (1/2),Suzanne Lenglen  ,Suzanne Lenglen (4/8),Molla Bjurstedt Mallory (7/8)
1923,Margaret Molesworth (2/2),Suzanne Lenglen  ,Suzanne Lenglen (5/8),Helen Wills Moody (1/19)
1924,Sylvia Lance Harper,Julie Vlasto  ,Kathleen McKane Godfree (1/2),Helen Wills Moody (2/19)
1925,Daphne Akhurst (1/5),Suzanne Lenglen (6/8),Suzanne Lenglen (7/8),Helen Wills Moody (3/19)
1926,Daphne Akhurst (2/5),Suzanne Lenglen (8/8),Kathleen McKane Godfree (2/2),Molla Bjurstedt Mallory (8/8)
1927,Esna Boyd Robertson,Kornelia Bouman,Helen Wills Moody (4/19),Helen Wills Moody (5/19)
1928,Daphne Akhurst (3/5),Helen Wills Moody (6/19),Helen Wills Moody (7/19),Helen Wills Moody (8/19)
1929,Daphne Akhurst (4/5),Helen Wills Moody (9/19),Helen Wills Moody (10/19),Helen Wills Moody (11/19)
1930,Daphne Akhurst (5/5),Helen Wills Moody (12/19),Helen Wills Moody (13/19),Betty Nuthall
1931,Coral McInnes Buttsworth (1/2),Cilly Aussem (1/2),Cilly Aussem (2/2),Helen Wills Moody (14/19)
1932,Coral McInnes Buttsworth (2/2),Helen Wills Moody (15/19),Helen Wills Moody (16/19),Helen Jacobs (1/5)
1933,Joan Hartigan (1/3),Peggy Scriven Vivian (1/2),Helen Wills Moody (17/19),Helen Jacobs (2/5)
1934,Joan Hartigan (2/3),Peggy Scriven Vivian (2/2),Dorothy Round (1/3),Helen Jacobs (3/5)
1935,Dorothy Round (2/3),Hilde Krahwinkel Sperling (1/3),Helen Wills Moody (18/19),Helen Jacobs (4/5)
1936,Joan Hartigan (3/3),Hilde Krahwinkel Sperling (2/3),Helen Jacobs (5/5),Alice Marble (1/5)
1937,Nancye Wynne (1/6),Hilde Krahwinkel Sperling (3/3),Dorothy Round (3/3),Anita Lizana
1938,Dorothy Bundy Cheney,Simonne Passemard Mathieu (1/2),Helen Wills Moody (19/19),Alice Marble (2/5)
1939,Emily Hood Westacott,Simonne Passemard Mathieu (2/2),Alice Marble (3/5),Alice Marble (4/5)
1940,Nancye Wynne Bolton (2/6),Tournament cancelled,World War II,Alice Marble (5/5)
1941,World War II,Alice Weiwers †,World War II,Sarah Palfrey Cooke (1/2)
1942,World War II,Alice Weiwers †,World War II,Pauline Betz (1/5)
1943,World War II,Simone Iribarne Lafargue †,World War II,Pauline Betz  (2/5)
1944,World War II,Raymonde Veber Jones †,World War II,Pauline Betz (3/5)
1945,World War II,Lolette Payot †,World War II,Sarah Palfrey Cooke (2/2)
1946,Nancye Wynne Bolton (3/6),Margaret Osborne duPont (1/6),Pauline Betz (4/5),Pauline Betz (5/5)
1947,Nancye Wynne Bolton (4/6),Patricia Canning Todd (1/1),Margaret Osborne duPont (2/6),Louise Brough (1/6)
1948,Nancye Wynne Bolton (5/6),Nelly Landry (1/1),Louise Brough (2/6),Margaret Osborne duPont (3/6)
1949,Doris Hart (1/6),Margaret Osborne duPont (4/6),Louise Brough (3/6),Margaret Osborne duPont (5/6)
