DATE,EXJPUS,INTGSBJPM193N,TB6MS
1990-01-01 00:00:00,144.9819,6.64,7.55
1990-02-01 00:00:00,145.6932,6.92,7.7
1990-03-01 00:00:00,153.3082,7.36,7.85
1990-04-01 00:00:00,158.4586,7.24,7.84
1990-05-01 00:00:00,154.0441,6.7,7.76
1990-06-01 00:00:00,153.6957,7.06,7.63
1990-07-01 00:00:00,149.0395,7.48,7.52
1990-08-01 00:00:00,147.4609,8.19,7.38
1990-09-01 00:00:00,138.4405,8.62,7.32
1990-10-01 00:00:00,129.5909,7.68,7.16
1990-11-01 00:00:00,129.2155,7.4,7.03
1990-12-01 00:00:00,133.889,7.06,6.7
1991-01-01 00:00:00,133.6986,6.83,6.28
1991-02-01 00:00:00,130.5358,6.66,5.93
1991-03-01 00:00:00,137.3867,6.89,5.92
1991-04-01 00:00:00,137.1127,7.0,5.71
1991-05-01 00:00:00,138.2218,6.87,5.61
1991-06-01 00:00:00,139.7475,7.12,5.75
1991-07-01 00:00:00,137.83,6.8,5.7
1991-08-01 00:00:00,136.8164,6.55,5.39
1991-09-01 00:00:00,134.2995,6.11,5.25
1991-10-01 00:00:00,130.7723,6.02,5.04
1991-11-01 00:00:00,129.6321,5.93,4.61
1991-12-01 00:00:00,128.0395,5.53,4.1
1992-01-01 00:00:00,125.4614,5.53,3.87
1992-02-01 00:00:00,127.6989,5.41,3.93
1992-03-01 00:00:00,132.8627,5.33,4.18
1992-04-01 00:00:00,133.5395,5.48,3.87
1992-05-01 00:00:00,130.771,5.41,3.75
1992-06-01 00:00:00,126.8355,5.14,3.77
1992-07-01 00:00:00,125.8817,4.74,3.28
1992-08-01 00:00:00,126.231,4.62,3.21
1992-09-01 00:00:00,122.5967,4.49,2.96
1992-10-01 00:00:00,121.1652,4.41,3.04
1992-11-01 00:00:00,123.88,4.4,3.34
1992-12-01 00:00:00,124.0409,4.37,3.36
1993-01-01 00:00:00,124.9932,4.31,3.14
1993-02-01 00:00:00,120.7595,3.76,3.07
1993-03-01 00:00:00,117.0174,4.17,3.05
1993-04-01 00:00:00,112.4114,4.26,2.97
1993-05-01 00:00:00,110.343,4.35,3.07
1993-06-01 00:00:00,107.4118,4.09,3.2
1993-07-01 00:00:00,107.6914,3.9,3.16
1993-08-01 00:00:00,103.765,3.69,3.14
1993-09-01 00:00:00,105.5748,3.36,3.06
1993-10-01 00:00:00,107.02,3.11,3.12
1993-11-01 00:00:00,107.8765,2.73,3.26
1993-12-01 00:00:00,109.913,2.58,3.23
1994-01-01 00:00:00,111.4415,3.29,3.15
1994-02-01 00:00:00,106.3011,3.51,3.43
1994-03-01 00:00:00,105.0974,3.46,3.78
1994-04-01 00:00:00,103.4843,3.51,4.09
1994-05-01 00:00:00,103.7533,3.29,4.6
1994-06-01 00:00:00,102.5264,3.67,4.55
1994-07-01 00:00:00,98.445,3.8,4.75
1994-08-01 00:00:00,99.9404,4.14,4.88
1994-09-01 00:00:00,98.7743,3.92,5.04
