APN,ADDRESS,Date_Sale,Sale_Amount,Num_Bedrooms,BLKLOT
3570 101,566 SOUTH VAN NESS AVE #3,1/3/2012,"$425,500 ",2,3570101
3719 181,301 MISSION ST #22E,1/3/2012,"$1,160,000 ",2,3719181
8704 277,300 BERRY ST # 1612,1/3/2012,"$774,025 ",2,8704277
1836 032,1463 17TH AVE,1/4/2012,"$660,000 ",2,1836032
3594 079,3380 20TH ST 302,1/4/2012,"$450,000 ",2,3594079
1159 042,1944 MCALLISTER ST,1/5/2012,"$680,000 ",2,1159042
3794 274,170 KING ST #1127,1/5/2012,"$820,000 ",2,3794274
4720 080,15 REBECCA LN,1/5/2012,"$227,000 ",2,4720080
4991 681,110 OTTER COVE TERRACE,1/5/2012,"$476,000 ",2,4991681
7254 012,69 SPRINGFIELD DR,1/5/2012,"$640,000 ",2,7254012
1012 044,3716 SACRAMENTO ST,1/6/2012,"$1,365,000 ",2,1012044
1931 041,1609 12TH AVE,1/6/2012,"$470,000 ",2,1931041
3604 113,741 NOE ST,1/6/2012,"$945,000 ",2,3604113
5068 001A,46 WABASH TER,1/6/2012,"$475,000 ",2,5068001A
5672 028F,315 COLERIDGE ST,1/6/2012,"$850,000 ",2,5672028F
6239 012,242 RAYMOND AVE,1/6/2012,"$459,000 ",2,6239012
7517 057,5150 DIAMOND HEIGHTS BLVD 201B,1/6/2012,"$275,000 ",2,7517057
1215 065,350 BRODERICK ST UNIT 319,1/9/2012,"$720,000 ",2,1215065
5521 041,98 STONEMAN ST,1/9/2012,"$450,000 ",2,5521041
5521 042,96 STONEMAN ST,1/9/2012,"$699,000 ",2,5521042
8702 393,260 KING ST #1303,1/9/2012,"$860,000 ",2,8702393
0627 015,2151 LAGUNA ST 1,1/10/2012,"$1,400,000 ",2,627015
1062 062,166 PALM AVE #1,1/10/2012,"$655,000 ",2,1062062
3785 039,175 BLUXOME ST #110,1/10/2012,"$1,500 ",2,3785039
8702 146,250 KING ST #430,1/10/2012,"$707,000 ",2,8702146
1175 088,2001 MCALLISTER ST 202,1/11/2012,"$582,000 ",2,1175088
1333 048,195 25TH AVE 301,1/11/2012,"$725,000 ",2,1333048
3793 108,88 KING  #603,1/11/2012,"$952,000 ",2,3793108
6554 047,4124 26TH ST,1/11/2012,"$778,000 ",2,6554047
0638 066,2299 SACRAMENTO ST 10,1/12/2012,"$790,000 ",2,638066
1175 051,2001 MCALLISTER ST 115,1/12/2012,"$710,000 ",2,1175051
1453 062,322 22ND AVE #201,1/12/2012,"$719,000 ",2,1453062
3776 398,555 04TH ST #827,1/12/2012,"$850,000 ",2,3776398
6301 023,1030 SUNNYDALE AVE,1/12/2012,"$370,000 ",2,6301023
1734 050,1245 16TH AVE,1/13/2012,"$744,000 ",2,1734050
3722 300,188 MINNA ST 28F,1/13/2012,"$1,140,000 ",2,3722300
3978 081,451 KANSAS ST #448,1/13/2012,"$625,000 ",2,3978081
4106 156,989 20TH ST #469,1/13/2012,"$730,000 ",2,4106156
0275B117,900 BUSH ST,1/18/2012,"$512,000 ",2,0275B117
0279 049,1299 BUSH ST #603,1/19/2012,"$685,000 ",2,279049
0452T044F,900 NORTH POINT ST 631 MB36F,1/19/2012,"$208,000 ",2,0452T044F
0739 040,818 VAN NESS AVE #407,1/19/2012,"$680,000 ",2,739040
3719 070,301 MISSION ST #8E,1/19/2012,"$920,000 ",2,3719070
0128C026,1750 TAYLOR ST #0803,1/20/2012,"$1,900,000 ",2,0128C026
0219 041,1417 CLAY ST,1/20/2012,"$1,025,000 ",2,219041
0735 073,1148 EDDY ST A,1/20/2012,"$377,000 ",2,735073
1294 024,1572 SHRADER ST,1/20/2012,"$1,890,000 ",2,1294024
2778 065,829 CORBETT AVE #4,1/20/2012,"$1,300,000 ",2,2778065
3719 114,301 MISSION ST #14G,1/20/2012,"$1,130,000 ",2,3719114
5421 124,1780 BANCROFT #4207,1/23/2012,"$231,255 ",2,5421124
0742 037,750 VAN NESS 205,1/24/2012,"$480,000 ",2,742037
2031 004D,1753 18TH AVE,1/24/2012,"$588,000 ",2,2031004D
2653 009,236 CORBETT AVE,1/24/2012,"$809,900 ",2,2653009
