Modified Julian Date	Max Temperature
48988	53
49019	38
49047	31
49078	66
49108	75
49139	65
49169	79
49200	82
49231	83
49261	51
49292	42
49322	45
49353	27
49384	23
49412	28
49443	54
49473	74
49504	80
49534	80
49565	79
49596	71
49626	61
49657	69
49687	48
49718	38
49749	40
49777	36
49808	52
49838	54
49869	83
49899	81
49930	90
49961	87
49991	66
50022	50
50052	35
50083	40
50114	22
50143	30
50174	61
50204	58
50235	75
50265	64
50296	65
50327	81
50357	67
50388	59
50418	53
50449	27
50480	44
50508	62
50539	42
50569	74
50600	74
50630	85
50661	87
50692	81
50722	69
50753	64
50783	48
50814	24
50845	41
50873	57
50904	86
50934	70
50965	82
50995	79
51026	79
51057	81
51087	69
51118	57
51148	56
51179	21
51210	28
51238	42
51269	73
51299	72
51330	88
51360	76
51391	86
51422	76
51452	66
51483	72
51513	42
51544	36
51575	33
51604	53
51635	55
51665	57
51696	72
51726	78
51757	70
51788	82
51818	66
51849	53
51879	39
51910	25
51941	46
52000	43
52030	78
52061	65
52091	83
52122	82
52153	81
52183	54
52214	50
52244	62
52275	29
52306	33
52334	38
52365	60
52395	54
52426	83
52456	85
52487	89
52518	70
52548	82
52579	50
52609	43
52640	45
52671	35
52699	37
52730	41
52760	73
52791	68
52821	80
52852	78
52883	71
52913	62
52944	68
52974	47
53005	44
53036	24
53065	53
53096	45
53126	75
53157	65
53187	81
53218	84
53249	78
53279	64
53310	70
53340	50
53371	51
53402	34
53430	31
53461	54
53491	64
53522	77
53552	80
53583	82
53614	84
53644	64
53675	68
53705	60
53736	36
53767	42
53795	31
53826	72
53856	73
53887	80
53917	79
53948	90
53979	70
54009	61
54040	69
54070	65
54132	30
54160	43
54191	58
54221	76
54252	86
54282	79
54313	86
54344	85
54374	72
54405	65
54435	44
54466	44
54497	35
54526	35
54557	55
54587	58
54618	76
54648	81
54679	87
54710	80
54740	71
54771	65
54801	48
54832	22
54863	26
54891	36
54922	60
54952	65
54983	76
55013	84
55044	81
55075	71
55105	56
55136	68
55166	48
