Modified Julian Date	Stock Value
55463	527.29
55462	513.48
55461	516
55460	513.46
55459	508.28
55456	490.15
55455	481.06
55454	480.64
55453	480.43
55452	482.27
55449	476.14
55448	476.18
55447	470.58
55446	464.4
55442	470.3
55441	463.18
55440	460.33
55439	450.02
55438	452.69
55435	458.83
55434	450.98
55433	454.62
55432	451.39
55431	464.07
55428	462.02
55427	467.97
55426	482.15
55425	490.52
55424	485.59
55421	486.35
55420	492.01
55419	491.74
55418	503.71
55417	505.35
55414	500.22
55413	508.1
55412	506.32
55411	489.83
55410	490.41
55407	484.85
55406	484.99
55405	484.35
55404	492.63
55403	488.97
55400	490.06
55399	484.81
55398	477.5
55397	481.59
55396	466.18
55393	459.61
55392	494.02
55391	491.34
55390	489.2
55389	475.83
55386	467.49
55385	456.56
55384	450.2
55383	436.07
55379	436.55
55378	439.49
55377	444.95
55376	454.26
55375	472.08
55372	472.68
55371	475.1
55370	482.05
55369	486.25
55368	488.56
55365	500.03
55364	500.08
55363	501.27
55362	497.99
55361	483.19
55358	488.5
55357	487.01
55356	474.02
55355	484.78
55354	485.52
55351	498.72
55350	505.6
55349	493.37
55348	482.37
55344	485.63
55343	490.46
55342	475.47
55341	477.07
55340	477.16
55337	472.05
55336	475.01
55335	494.43
55334	498.37
55333	507.97
55330	507.53
55329	510.88
55328	505.39
55327	509.05
55326	521.65
55323	493.14
55322	498.67
55321	509.76
55320	506.37
55319	530.6
55316	525.7
55315	532
55314	529.19
55313	529.06
55312	531.64
55309	544.99
55308	547.06
55307	554.3
55306	555.04
55305	550.1
55302	550.15
55301	595.3
55300	589
55299	586.77
55298	572.73
55295	566.22
55294	567.49
55293	563.54
55292	568.22
55291	571.01
55287	568.8
55286	567.12
55285	566.71
55284	562.45
55281	562.69
55280	562.88
55279	557.33
55278	549
55277	557.5
55274	560
55273	566.4
55272	565.56
55271	565.2
55270	563.18
55267	579.54
55266	581.14
55265	576.45
55264	560.19
55263	562.48
55260	564.21
55259	554.59
55258	545.32
55257	541.06
55256	532.69
55253	526.8
55252	526.43
55251	531.47
55250	535.07
55249	542.8
55246	540.76
55245	543.22
55244	538.21
55243	541.3
55239	533.12
55238	536.4
55237	534.45
55236	536.44
55235	533.47
55232	531.29
55231	526.78
55230	540.82
55229	531.12
55228	533.02
55225	529.94
55224	534.29
55223	542.1
55222	542.42
55221	540
55218	550.01
55217	582.98
55216	580.41
55215	587.62
55211	580
55210	589.85
55209	587.09
55208	590.48
55207	601.11
55204	602.02
55203	594.1
55202	608.26
55201	623.99
55200	626.75
55196	619.98
55195	622.73
55194	619.4
55193	622.87
55189	618.48
55188	611.68
55187	601.12
55186	598.68
55183	596.42
55182	593.94
55181	597.76
55180	593.14
55179	595.73
55176	590.51
55175	591.5
55174	589.02
55173	587.05
55172	586.25
55169	585.01
55168	585.74
55167	587.51
55166	589.87
55165	583
55162	579.76
55160	585.74
55159	583.09
55158	582.35
55155	569.96
55154	572.99
55153	576.65
55152	577.49
55151	576.28
55148	572.05
55147	567.85
55146	570.56
55145	566.76
55144	562.51
55141	551.1
55140	548.65
55139	540.33
55138	537.29
55137	533.99
55134	536.12
55133	551.05
55132	540.3
55131	548.29
55130	554.21
55127	553.69
55126	554.09
55125	551.1
55124	551.72
55123	552.09
55120	549.85
55119	529.91
55118	535.32
55117	526.11
55116	524.04
55113	516.25
55112	514.18
55111	517.54
55110	498.74
55109	488.52
55106	484.58
55105	487.2
55104	495.85
55103	498.53
55102	498.53
55099	492.48
55098	496.77
55097	498.46
55096	499.06
55095	497
55092	491.46
55091	491.72
55090	488.29
55089	477.54
55088	475.12
55085	472.14
55084	470.94
55083	463.97
55082	458.62
55078	461.3
55077	457.52
55076	453.01
55075	455.76
55074	461.67
55071	464.75
55070	466.06
55069	468
55068	471.37
55067	468.73
55064	465.24
55063	460.41
55062	443.97
55061	445.28
55060	444.89
55057	460
55056	462.28
55055	458.58
55054	453.94
55053	456.61
55050	457.1
55049	450.36
55048	451.14
55047	453.73
55046	452.21
55043	443.05
55042	445.64
55041	436.24
55040	439.85
55039	444.8
55036	446.72
55035	437.34
55034	427.69
55033	427.9
55032	430.17
55029	430.25
55028	442.6
55027	438.17
55026	424.69
55025	424.3
55022	414.4
55021	410.39
55020	402.49
55019	396.63
55018	409.61
55014	408.49
55013	418.99
55012	421.59
55011	424.14
55008	425.32
55007	415.77
55006	409.29
55005	405.68
55004	407.35
55001	420.09
55000	414.06
54999	415.16
54998	416
54997	416.77
54994	424.84
54993	429
54992	432.6
54991	435.62
54990	438.77
54987	444.32
54986	440.28
54985	431.65
54984	428.4
54983	426.56
54980	417.23
54979	410.4
54978	405.56
54977	404.36
54973	393.5
54972	396.5
54971	397.18
54970	398.88
54969	396.84
54966	390
54965	387.5
54964	389.54
54963	399.01
54962	407.98
54959	407.33
54958	396.61
54957	403.47
54956	402.99
54955	401.98
54952	393.69
54951	395.97
54950	391.47
54949	383.71
54948	385.95
54945	389.49
54944	384.69
54943	383.86
54942	381.47
54941	379.3
54938	392.24
54937	388.74
54936	379.5
54935	368.91
54934	378.11
54930	372.5
54929	362
54928	358.65
54927	368.24
54924	369.78
54923	362.5
54922	354.09
54921	348.06
54920	342.69
54917	347.7
54916	353.29
54915	344.07
54914	347.17
54913	348.6
54910	330.16
54909	329.94
54908	333.1
54907	335.34
54906	319.69
54903	324.42
54902	323.53
54901	317.91
54900	308.17
54899	290.89
54896	308.57
54895	305.64
54894	318.92
54893	325.48
54892	327.16
54889	337.99
54888	337.18
54887	341.64
54886	345.45
54885	330.06
54882	346.45
54881	342.64
54880	353.11
54879	342.66
54875	357.68
54874	363.05
54873	358.04
54872	358.51
54871	378.77
54868	371.28
54867	353.72
54866	343
54865	340.45
54864	340.57
54861	338.53
54860	343.32
54859	348.67
54858	331.48
54857	323.87
54854	324.7
54853	306.5
54852	303.08
54851	282.75
54847	299.67
54846	298.99
54845	300.97
54844	314.32
54843	312.69
54840	315.07
54839	325.19
54838	322.01
54837	334.06
54836	328.05
54833	321.32
54831	307.65
54830	303.11
54829	297.42
54826	300.36
54824	302.95
54823	298.02
54822	297.11
54819	310.17
54818	310.28
54817	315.24
54816	325.28
54815	310.67
54812	315.76
54811	300.22
54810	308.82
54809	305.97
54808	302.11
54805	283.99
54804	274.34
54803	279.43
54802	275.11
54801	265.99
54798	292.96
54796	292.09
54795	282.05
54794	257.44
54791	262.43
54790	259.56
54789	280.18
54788	297.42
54787	300.12
54784	310.02
54783	312.08
54782	291
54781	311.46
54780	318.78
54777	331.14
54776	331.22
54775	342.24
54774	366.94
54773	346.49
54770	359.36
54769	359.69
54768	358
54767	368.75
54766	329.49
54763	339.29
54762	352.32
54761	355.67
54760	362.75
54759	379.32
54756	372.54
54755	353.02
54754	339.17
54753	362.71
54752	381.02
54749	332
54748	328.98
54747	338.11
54746	346.01
54745	371.21
54742	386.91
54741	390.49
54740	411.72
54739	400.52
54738	381
54735	431.04
54734	439.6
54733	435.11
54732	429.27
54731	430.14
54728	449.15
54727	439.08
54726	414.49
54725	442.93
54724	433.86
54721	437.66
54720	433.75
54719	414.16
54718	418.66
54717	419.95
54714	444.25
54713	450.26
54712	464.41
54711	465.25
54707	463.29
54706	473.78
54705	468.58
54704	474.16
54703	483.01
54700	490.59
54699	486.53
54698	485
54697	490.5
54696	498.3
54693	510.15
54692	505.49
54691	500.03
54690	502.61
54689	500.84
54686	495.01
54685	479.12
54684	486.34
54683	479.85
54682	463
54679	467.86
54678	473.75
54677	482.7
54676	483.11
54675	477.12
54672	491.98
54671	475.62
54670	489.22
54669	477.11
54668	468.8
54665	481.32
54664	533.44
54663	535.6
54662	516.09
54661	521.62
54658	533.8
54657	540.57
54656	541.55
54655	554.53
54654	543.91
54650	537
54649	527.04
54648	534.73
54647	526.42
54644	528.07
54643	528.82
54642	551
54641	542.3
54640	545.21
54637	546.43
54636	560.2
54635	562.38
54634	569.46
54633	572.81
54630	571.51
54629	552.95
54628	545.2
54627	554.17
54626	557.87
54623	567
54622	586.3
54621	572.22
54620	567.3
54619	575
54616	585.8
54615	583
54614	568.24
54613	560.9
54609	544.62
54608	549.46
54607	549.99
54606	578.6
54605	577.52
54602	580.07
54601	581
54600	576.3
54599	583
54598	584.94
54595	573.2
54594	583.01
54593	579
54592	586.36
54591	594.9
54588	581.29
54587	593.08
54586	574.29
54585	558.47
54584	552.12
54581	544.06
54580	543.04
54579	546.49
54578	555
54577	537.79
54574	539.41
54573	449.54
54572	455.03
54571	446.84
54570	451.66
