stid,station_name,lat,lon,elev,begints,iem_network
AAT,ALTURAS (WAS O00),41.49139,-120.56444,1333,436752000,CA_ASOS
ACV,ARCATA/EUREKA ARPT,40.97811,-124.10861,66,-633780000,CA_ASOS
AUN,AURBURN MUNICIPAL AIRPORT,38.95481,-121.08172,467,1030864200,CA_ASOS
AVX,AVALON/CATALINA,33.405,-118.41583,488,-838026000,CA_ASOS
BFL,BAKERSFIELD/MEADOWS,35.4344,-119.0542,150,-891518400,CA_ASOS
DAG,BARSTOW-DAGGETT,34.85361,-116.78583,587,-667908000,CA_ASOS
BAB,BEALE AFB/MARYSVILE,39.13609,-121.43657,34,-331484400,CA_ASOS
BUO,BEAUMONT,33.93333,-116.96667,692,-694281600,CA_ASOS
BYS,BICYCLE LAKE,35.28053,-116.63003,716,442522800,CA_ASOS
L35,Big Bear City,34.26378,-116.85603,2058,378759600,CA_ASOS
BIH,BISHOP AIRPORT,37.37311,-118.36361,1263,-850752000,CA_ASOS
BLU,BLUE CANYON (AMOS),39.27497,-120.70975,1611,-694281600,CA_ASOS
BLH,BLYTHE AIRPORT,33.61917,-114.71689,121,-869490000,CA_ASOS
L08,Borrego Springs,33.259,-116.321,160.0246,1534524900,CA_ASOS
BUR,BURBANK/GLENDALE,34.20067,-118.35867,236,-839001600,CA_ASOS
C83,Byron,37.8276,-121.6244,15.745778,1533311700,CA_ASOS
CCB,Cable,34.1116,-117.6874,433.58063,1541514000,CA_ASOS
CMA,CAMARILLO (AWOS),34.21375,-119.09436,23,-538394400,CA_ASOS
CZZ,CAMPO (AWRS),32.62611,-116.46833,802,94698000,CA_ASOS
NXF,Camp Pendleton,33.28564,-117.45648,27,180068400,CA_ASOS
NFG,CAMP PENDLETON MCAS,33.30111,-117.35515,24,-110541600,CA_ASOS
CRQ,CARLSBAD/PALOMAR,33.13,-117.28,100,94694400,CA_ASOS
O05,Chester,40.2824,-121.2412,1379.6687,,CA_ASOS
