valid(UTC),ACV,BFL,DAG,BIH,BLU,BLH,BUR,CMA,CRQ,NID,CNO,CCR,CEC,FAT,HJO,HHR,HWD,IPL,WJF,NLC,LVK,LGB,CQT,MAE,MYV,MOD,SIY,MRY,MHS,APC,EED,OAK,OKB,ONT,OVE,OXR,PMD,PSP,PRB,RBL,RDD,RAL,SAC,SMF,SNS,SDB,SDM,SAN,MYF,SFO,SJC,SBP,SNA,SBA,SMX,SMO,STS,TVL,SCK,TRM,UKI,VCB,VNY,WVI
2022-01-15 09:00:00,29.97,29.653,28.226,26.172,24.978,29.744,29.327,30.02,29.73,27.905,29.411,30.174,30.165,29.82,29.964,30.04,30.119,30.198,27.774,29.965,29.786,30.056,29.909,29.947,30.167,30.116,27.579,29.893,26.67,30.15,29.275,30.159,30.063,29.157,30.034,30.023,27.582,29.723,29.308,29.887,29.719,29.266,30.186,30.205,,25.62,29.537,30.036,29.621,30.148,,29.896,30.034,30.073,29.842,29.894,30.05,24.09,30.195,30.287,29.536,30.115,29.241,30.002
2022-01-15 09:01:00,29.969,29.654,28.226,26.172,24.978,29.743,29.328,30.02,29.73,27.905,29.411,30.174,30.165,29.82,29.964,30.039,30.119,30.198,27.774,29.965,29.787,30.055,29.909,29.948,30.167,30.116,27.58,29.894,26.67,30.15,29.275,30.159,30.063,29.156,30.034,30.024,27.582,29.723,29.307,29.887,29.72,29.266,30.186,30.205,,25.618,29.537,30.035,29.621,30.148,,29.896,30.034,30.073,29.842,29.894,30.05,24.09,30.197,30.287,29.536,30.116,29.241,30.002
2022-01-15 09:02:00,29.969,29.654,28.227,26.172,24.978,29.743,29.328,30.021,29.731,27.905,29.411,30.174,30.166,29.82,29.965,30.039,30.119,30.198,27.775,29.965,29.787,30.055,29.909,29.95,30.167,30.116,27.58,29.895,26.67,30.15,29.275,30.159,30.063,29.157,30.033,30.025,27.582,29.723,29.307,29.887,29.72,29.266,30.186,30.206,,25.618,29.537,30.035,29.622,30.148,,29.894,30.033,30.073,29.842,29.894,30.05,24.091,30.197,30.287,29.535,30.117,29.24,30.002
2022-01-15 09:03:00,29.969,29.654,28.227,26.175,24.977,29.744,29.327,30.02,29.73,27.905,29.411,30.174,30.166,29.819,29.966,30.04,30.119,30.199,27.774,29.965,29.787,30.056,29.909,29.95,30.167,30.116,27.58,29.895,26.669,30.15,29.275,30.159,30.064,29.157,30.032,30.024,27.582,29.723,29.307,29.887,29.72,29.266,30.186,30.206,,25.622,29.537,30.035,29.623,30.149,,29.894,30.033,30.073,29.842,29.894,30.051,24.091,30.195,30.288,29.535,30.117,29.24,30.002
2022-01-15 09:04:00,29.969,29.655,28.228,26.174,24.977,29.745,29.327,30.019,29.731,27.905,29.41,30.173,30.166,29.818,29.967,30.04,30.118,30.199,27.774,29.966,29.787,30.056,29.909,29.948,30.167,30.117,27.579,29.895,26.669,30.151,29.275,30.159,30.064,29.157,30.032,30.024,27.582,29.722,29.307,29.886,29.72,29.266,30.187,30.206,,25.615,29.537,30.035,29.624,30.149,,29.893,30.034,30.072,29.841,29.894,30.049,24.09,30.195,30.288,29.534,30.118,29.24,30.002
2022-01-15 09:05:00,29.969,29.655,28.229,26.174,24.978,29.745,29.326,30.02,29.731,27.904,29.41,30.173,30.166,29.819,29.967,30.04,30.118,30.2,27.775,29.966,29.786,30.055,29.91,29.948,30.167,30.117,27.579,29.895,26.669,30.15,29.276,30.159,30.065,29.157,30.032,30.025,27.582,29.722,29.308,29.886,29.72,29.267,30.187,30.206,,25.62,29.537,30.035,29.625,30.149,,29.893,30.034,30.072,29.841,29.894,30.049,24.089,30.196,30.288,29.534,30.118,29.24,30.0
2022-01-15 09:06:00,29.969,29.654,28.228,26.174,24.978,29.746,29.326,30.02,29.731,27.904,29.41,30.173,30.167,29.82,29.966,30.041,30.118,30.2,27.775,29.966,29.785,30.055,29.91,29.951,30.167,30.117,27.578,29.893,26.669,30.15,29.275,30.16,30.066,29.158,30.031,30.025,27.581,29.722,29.309,29.886,29.72,29.267,30.187,30.206,,25.62,29.537,30.036,29.625,30.149,,29.893,30.035,30.072,29.841,29.895,30.052,24.089,30.195,30.289,29.533,30.118,29.24,30.0
2022-01-15 09:07:00,29.969,29.653,28.228,26.172,24.979,29.747,29.327,30.02,29.731,27.903,29.411,30.173,30.167,29.822,29.967,30.041,30.117,30.201,27.775,29.966,29.785,30.056,29.91,29.952,30.167,30.117,27.578,29.892,26.669,30.151,29.275,30.16,30.066,29.158,30.031,30.025,27.581,29.723,29.309,29.886,29.72,29.266,30.187,30.206,,25.626,29.538,30.037,29.626,30.149,,29.892,30.036,30.072,29.84,29.896,30.053,24.089,30.194,30.289,29.533,30.118,29.241,30.0
2022-01-15 09:08:00,29.969,29.653,28.227,26.17,24.979,29.747,29.327,30.02,29.731,27.903,29.411,30.173,30.168,29.823,29.968,30.043,30.117,30.201,27.775,29.967,29.785,30.055,29.91,29.952,30.167,30.117,27.578,29.892,26.669,30.151,29.275,30.16,30.066,29.159,30.032,30.026,27.581,29.723,29.31,29.887,29.72,29.266,30.187,30.206,,25.62,29.539,30.038,29.626,30.149,,29.892,30.036,30.073,29.84,29.896,30.052,24.09,30.195,30.289,29.533,30.118,29.242,30.0
2022-01-15 09:09:00,29.969,29.655,28.227,26.171,24.979,29.747,29.328,30.02,29.732,27.903,29.411,30.172,30.168,29.823,29.967,30.042,30.117,30.2,27.775,29.967,29.786,30.056,29.911,29.953,30.167,30.118,27.577,29.892,26.669,30.153,29.274,30.158,30.067,29.16,30.033,30.025,27.581,29.723,29.309,29.887,29.72,29.267,30.188,30.206,,25.617,29.539,30.039,29.626,30.15,,29.893,30.036,30.073,29.839,29.897,30.052,24.09,30.196,30.29,29.534,30.117,29.242,30.0
