year,type,gpw
2008,NVIDIA GPU,
2008,NVIDIA GPU,
2008,NVIDIA GPU,
2007,NVIDIA GPU,0.55
2007,NVIDIA GPU,1.075
2007,NVIDIA GPU,1.32
2009,NVIDIA GPU,1.22
2007,NVIDIA GPU,0.955555555556
2007,NVIDIA GPU,2.40425531915
2007,NVIDIA GPU,2.40425531915
2007,NVIDIA GPU,1.95774647887
2008,NVIDIA GPU,3.77142857143
2007,NVIDIA GPU,2.3698630137
2007,NVIDIA GPU,2.66
2007,NVIDIA GPU,4.8
2007,NVIDIA GPU,4.62222222222
2006,NVIDIA GPU,
2007,NVIDIA GPU,3.29142857143
2008,NVIDIA GPU,
2008,NVIDIA GPU,5.6
2008,NVIDIA GPU,1.248
2008,NVIDIA GPU,
2008,NVIDIA GPU,1.344
2008,NVIDIA GPU,2.688
2008,NVIDIA GPU,
2008,NVIDIA GPU,4.71428571429
2008,NVIDIA GPU,2.6
2009,NVIDIA GPU,
2008,NVIDIA GPU,3.28421052632
2009,NVIDIA GPU,6.16
2008,NVIDIA GPU,
2008,NVIDIA GPU,4.62857142857
2008,NVIDIA GPU,5.0
2008,NVIDIA GPU,
2009,NVIDIA GPU,0.96
2009,NVIDIA GPU,2.688
2009,NVIDIA GPU,2.4
2009,NVIDIA GPU,2.97142857143
2009,NVIDIA GPU,5.0
2009,NVIDIA GPU,2.20642622951
2010,NVIDIA GPU,4.8
2010,NVIDIA GPU,6.54023255814
2010,NVIDIA GPU,3.43066666667
2010,NVIDIA GPU,5.59275362319
2011,NVIDIA GPU,
2010,NVIDIA GPU,2.688
2010,NVIDIA GPU,4.48
2010,NVIDIA GPU,5.48571428571
2018,NVIDIA GPU,
2011,NVIDIA GPU,4.78523076923
2010,NVIDIA GPU,6.11482142857
2010,NVIDIA GPU,4.29283018868
2010,NVIDIA GPU,5.67301886792
2010,NVIDIA GPU,4.992
2010,NVIDIA GPU,5.824
2010,NVIDIA GPU,6.048
2018,NVIDIA GPU,
2011,NVIDIA GPU,6.535
2010,NVIDIA GPU,0.426826347305
2010,NVIDIA GPU,0.505403899721
2010,NVIDIA GPU,0.537124600639
2011,NVIDIA GPU,4.016
2011,NVIDIA GPU,5.36206896552
2011,NVIDIA GPU,5.376
2011,NVIDIA GPU,5.92957142857
2011,NVIDIA GPU,4.77257142857
2011,NVIDIA GPU,5.95862068966
2011,NVIDIA GPU,5.65266666667
2011,NVIDIA GPU,5.652
2011,NVIDIA GPU,7.43176470588
2011,NVIDIA GPU,4.9080952381
2011,NVIDIA GPU,6.24619047619
2010,NVIDIA GPU,6.41735159817
2010,NVIDIA GPU,6.47991803279
2011,NVIDIA GPU,6.81726027397
2012,NVIDIA GPU,4.016
2012,NVIDIA GPU,5.36206896552
2012,NVIDIA GPU,5.18333333333
2012,NVIDIA GPU,5.48571428571
2013,NVIDIA GPU,5.18333333333
2012,NVIDIA GPU,6.72
2012,NVIDIA GPU,4.78461538462
2012,NVIDIA GPU,4.78461538462
2013,NVIDIA GPU,27.708
2013,NVIDIA GPU,21.22
2012,NVIDIA GPU,5.52933333333
2012,NVIDIA GPU,12.242
2012,NVIDIA GPU,10.6338461538
2012,NVIDIA GPU,9.728
2013,NVIDIA GPU,16.393877551
2012,NVIDIA GPU,6.38571428571
2013,NVIDIA GPU,14.8140625
2012,NVIDIA GPU,12.6959375
2012,NVIDIA GPU,12.9582727273
2013,NVIDIA GPU,11.2334328358
2012,NVIDIA GPU,13.44
2012,NVIDIA GPU,16.22
2012,NVIDIA GPU,16.3968
2012,NVIDIA GPU,14.4677647059
2012,NVIDIA GPU,15.8483589744
2012,NVIDIA GPU,18.7392
2014,NVIDIA GPU,8.01546391753
2014,NVIDIA GPU,
2016,NVIDIA GPU,19.2631578947
2014,NVIDIA GPU,16.1052631579
2014,NVIDIA GPU,30.1173913043
2014,NVIDIA GPU,5.48571428571
2014,NVIDIA GPU,18.2289473684
2014,NVIDIA GPU,11.915625
2014,NVIDIA GPU,11.915625
2014,NVIDIA GPU,14.4236363636
2014,NVIDIA GPU,18.9909090909
2014,NVIDIA GPU,21.76
2013,NVIDIA GPU,13.2817647059
2013,NVIDIA GPU,13.9708695652
2013,NVIDIA GPU,15.9068
2013,NVIDIA GPU,20.1828
2013,NVIDIA GPU,17.9988
2014,NVIDIA GPU,20.4824
2014,NVIDIA GPU,21.6576
2015,NVIDIA GPU,17.4777777778
2015,NVIDIA GPU,19.2333333333
2014,NVIDIA GPU,24.0965517241
2014,NVIDIA GPU,27.9515151515
2015,NVIDIA GPU,22.528
2015,NVIDIA GPU,24.576
2007,supercomputer,0.35723
2007,supercomputer,0.35225
2007,supercomputer,0.34695
2007,supercomputer,0.33621
2007,supercomputer,0.31093
2007,supercomputer,0.21056
2007,supercomputer,0.21056
2007,supercomputer,0.21056
2007,supercomputer,0.21056
2007,supercomputer,0.21056
2007,supercomputer,0.21056
2007,supercomputer,0.21056
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20831
2007,supercomputer,0.20527
2007,supercomputer,0.20506
2007,supercomputer,0.20424
2007,supercomputer,0.20377
2007,supercomputer,0.20377
2007,supercomputer,0.20377
2007,supercomputer,0.15724
2007,supercomputer,0.15527
2007,supercomputer,0.15513
2007,supercomputer,0.15221
2007,supercomputer,0.15045
2007,supercomputer,0.15045
2007,supercomputer,0.15045
2007,supercomputer,0.14811
2007,supercomputer,0.14221
2007,supercomputer,0.14023
2007,supercomputer,0.13799
2007,supercomputer,0.13173
2007,supercomputer,0.13095
2007,supercomputer,0.1296
2007,supercomputer,0.12782
2007,supercomputer,0.12437
2007,supercomputer,0.11826
2007,supercomputer,0.11451
2007,supercomputer,0.10991
2007,supercomputer,0.10928
2007,supercomputer,0.10761
2007,supercomputer,0.10637
2007,supercomputer,0.10637
2007,supercomputer,0.10523
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10425
2007,supercomputer,0.10332
2007,supercomputer,0.10332
2007,supercomputer,0.10264
2007,supercomputer,0.10012
2007,supercomputer,0.09895
2007,supercomputer,0.09895
2007,supercomputer,0.09895
2007,supercomputer,0.09531
2007,supercomputer,0.09456
2007,supercomputer,0.09419
2007,supercomputer,0.0939
2007,supercomputer,0.09338
2007,supercomputer,0.09338
2007,supercomputer,0.09323
2007,supercomputer,0.09318
2007,supercomputer,0.09137
2007,supercomputer,0.09001
2007,supercomputer,0.08934
2007,supercomputer,0.08862
2007,supercomputer,0.08855
2007,supercomputer,0.08589
2007,supercomputer,0.08559
2007,supercomputer,0.08526
2007,supercomputer,0.0842
2007,supercomputer,0.08394
2007,supercomputer,0.07985
2007,supercomputer,0.07948
2007,supercomputer,0.07832
2007,supercomputer,0.07634
2007,supercomputer,0.07622
2007,supercomputer,0.07592
2007,supercomputer,0.07524
2007,supercomputer,0.07346
2007,supercomputer,0.07281
2007,supercomputer,0.07281
2007,supercomputer,0.07207
2007,supercomputer,0.07181
2007,supercomputer,0.07068
2007,supercomputer,0.07005
2007,supercomputer,0.06969
