Modified Julian Date	Stock Value
55463	14.5
55462	14.17
55461	14.04
55460	14.18
55459	13.86
55456	13.89
55455	14.19
55454	14.27
55453	13.63
55452	13.73
55449	13.68
55448	13.65
55447	13.75
55446	13.53
55442	13.62
55441	13.51
55440	13.37
55439	13.11
55438	13.18
55435	13.43
55434	13.21
55433	13.26
55432	13.4
55431	13.65
55428	13.79
55427	13.85
55426	13.99
55425	13.94
55424	13.79
55421	13.83
55420	13.85
55419	13.87
55418	14.35
55417	14.4
55414	14.34
55413	14.16
55412	14.18
55411	13.94
55410	14
55407	13.88
55406	13.76
55405	13.87
55404	13.95
55403	14.15
55400	13.99
55399	13.88
55398	13.91
55397	15.2
55396	15.1
55393	14.9
55392	15.37
55391	15.37
55390	15.52
55389	14.94
55386	14.89
55385	14.6
55384	14.4
55383	14.13
55379	14.07
55378	14.09
55377	13.84
55376	14.04
55375	14.73
55372	14.81
55371	14.83
55370	15.23
55369	15.09
55368	15.21
55365	15.54
55364	15.6
55363	15.49
55362	15.65
55361	15.17
55358	15.29
55357	15.1
55356	14.69
55355	14.79
55354	14.94
55351	15
55350	15.43
55349	15.18
55348	15.02
55344	15.34
55343	15.69
55342	15.45
55341	15.31
55340	15.54
55337	15.48
55336	15.1
55335	15.79
55334	16.03
55333	16.27
55330	16.39
55329	16.14
55328	16.47
55327	16.41
55326	16.33
55323	15.29
55322	15.92
55321	16.49
55320	16.32
55319	16.95
55316	16.53
55315	16.97
55314	16.75
55313	16.92
55312	17.39
55309	17.64
55308	17.72
55307	17.45
55306	18.38
55305	18.39
55302	18.17
55301	18.97
55300	18.38
55299	18.18
55298	17.64
55295	17.52
55294	17.35
55293	16.87
55292	16.92
55291	16.51
55287	16.29
55286	16.53
55285	16.61
55284	16.56
55281	16.54
55280	16.32
55279	16.09
55278	16.03
55277	16.34
55274	16.44
55273	16.56
55272	16.5
55271	16.36
55270	16.46
55267	16.32
55266	16.53
55265	16.79
55264	16.53
55263	16.52
55260	16.06
55259	15.81
55258	15.57
55257	15.73
55256	15.79
55253	15.31
55252	15.24
55251	15.59
55250	15.38
55249	15.49
55246	15.58
55245	15.54
55244	15.44
55243	15.41
55239	15.17
55238	15.22
55237	14.8
55236	15.07
55235	14.99
55232	15.19
55231	15.01
55230	15.46
55229	15.17
55228	15.05
55225	15.01
55224	15.44
55223	15.98
55222	15.99
55221	15.86
55218	15.88
55217	16.2
55216	16.38
55215	16.75
55211	16.82
55210	17.12
55209	16.9
55208	16.68
55207	16.74
55204	16.7
55203	16.7
55202	17.17
55201	17.23
55200	17.1
55196	16.78
55195	16.98
55194	16.92
55193	16.88
55189	16.72
55188	16.67
55187	15.98
55186	15.88
55183	16.14
55182	15.82
55181	15.79
55180	15.74
55179	15.81
55176	15.74
55175	15.49
55174	15.18
55173	15.45
55172	15.45
55169	15.19
55168	15.11
55167	15.31
55166	15.13
55165	14.97
55162	15
55160	15.3
55159	15.24
55158	15.45
55155	15.38
55154	15.61
55153	15.98
55152	16.05
55151	16.07
55148	15.93
55147	16
55146	16.09
55145	16.04
55144	16.02
55141	15.94
55140	15.9
55139	15.69
55138	15.7
55137	15.85
55134	15.9
55133	16.13
55132	16.04
55131	16.69
55130	16.87
55127	17.22
55126	17.67
55125	17.66
55124	17.17
55123	17.22
55120	16.81
55119	16.52
55118	16.95
55117	16.88
55116	16.75
55113	16.87
55112	17.58
55111	17.49
55110	17.3
55109	16.8
55106	16.84
55105	17.39
55104	17.81
55103	17.45
55102	17.47
55099	17.08
55098	16.89
55097	17.21
55096	16.86
55095	17.04
55092	17.39
55091	17.5
55090	16.99
55089	16.41
55088	15.57
55085	15.59
55084	15.45
55083	14.78
55082	14.49
55078	14.5
55077	14.28
55076	14.23
55075	14.18
55074	14.61
55071	14.85
55070	14.93
55069	14.93
55068	15.07
55067	14.99
55064	14.79
55063	14.77
55062	14.79
55061	14.75
55060	14.56
55057	15.04
55056	15.04
55055	14.68
55054	14.46
55053	14.63
55050	14.62
55049	14.74
55048	14.67
55047	14.51
55046	14.34
55043	14.32
55042	14.6
55041	15.14
55040	17.22
55039	17
55036	17.48
55035	17.36
55034	17.37
55033	16.75
55032	17.01
55029	16.84
55028	16.19
55027	15.71
55026	15.18
55025	15.01
55022	14.93
55021	14.55
55020	14.38
55019	14.44
55018	14.91
55014	14.99
55013	15.41
55012	15.66
55011	15.9
55008	15.74
55007	15.53
55006	15.45
55005	14.68
55004	14.71
55001	15.8
55000	15.34
54999	15.6
54998	15.96
54997	16.4
54994	16.4
54993	16.19
54992	16.32
54991	16.4
54990	16.19
54987	16.64
54986	16.65
54985	16.3
54984	16.62
54983	16.58
54980	15.84
54979	15.09
54978	14.94
54977	15.28
54973	14.98
54972	14.87
54971	14.96
54970	15.18
54969	15.17
54966	14.91
54965	14.76
54964	14.52
54963	15.1
54962	15.54
54959	15.15
54958	14.8
54957	14.85
54956	14.74
54955	14.18
54952	14.14
54951	14.29
54950	14.02
54949	13.64
54948	13.89
54945	14.73
54944	14.55
54943	14.48
54942	14.38
54941	13.66
54938	14.39
54937	14.43
54936	14.02
54935	14.07
54934	14.42
54930	13.47
54929	12.92
54928	12.81
54927	13.23
54924	13.34
54923	12.95
54922	12.75
54921	12.81
54920	12.7
54917	13.18
54916	13.35
54915	13.55
54914	13.63
54913	14.09
54910	13.6
54909	13.74
54908	13.42
54907	13.99
54906	13.22
54903	13.51
54902	13.6
54901	13.39
54900	13.23
54899	12.66
54896	13.05
54895	12.53
54894	13.16
54893	12.5
54892	12.58
54889	13.23
54888	12.98
54887	12.48
54886	12.75
54885	11.97
54882	12.14
54881	11.98
54880	12.22
54879	12.02
54875	12.84
54874	12.66
54873	12.63
54872	12.75
54871	13.9
54868	13.63
54867	13.51
54866	13
54865	12.68
54864	12.15
54861	11.73
54860	11.74
54859	12.24
54858	11.34
54857	11.17
54854	11.32
54853	11.28
54852	11.59
54851	11.01
54847	11.59
54846	11.61
54845	12.41
54844	12.1
54843	12.22
54840	13.13
54839	13.07
54838	12.71
54837	13
54836	12.86
54833	12.85
54831	12.2
54830	11.97
54829	11.88
54826	12.34
54824	12.32
54823	12.42
54822	12.35
54819	13.03
54818	12.72
54817	13.11
54816	13.36
54815	12.73
54812	13.15
54811	12.73
54810	13.4
54809	12.19
54808	12.2
54805	11.66
54804	11.05
54803	11.5
54802	11.5
54801	10.74
54798	11.51
54796	10.58
54795	10.07
54794	10.21
54791	9.39
54790	8.95
54789	9.14
54788	11.55
54787	10.63
54784	10.82
54783	11.15
54782	10.34
54781	11.35
54780	11.87
54777	12.2
54776	13.96
54775	13.92
54774	13.35
54773	12.75
54770	12.82
54769	12.93
54768	12.14
54767	12.36
54766	11.58
54763	12.1
54762	12.65
54761	12.39
54760	12.07
54759	12.86
54756	12.9
54755	12.99
54754	11.75
54753	12.65
54752	13.49
54749	12.29
54748	12.65
54747	13.76
54746	14.58
